カタカナ語,日本語
アーカイブ,保存記録//記録保存館
アイデンティティー,独自性//自己認識//自己同一性
アイドリングストップ,停車時エンジン停止
アイミツ,相見積もり
アイロニー,皮肉
アウトソーシング,外部委託
アカウンタビリティー,説明責任
アクションプログラム,実行計画
アクセシビリティー,利用しやすさ
アクセス,接続//交通手段//参入
アグリー,同意
アサイン,割り当てる
アサップ,できるだけ早く
アジェンダ,議題//計画//予定表//検討課題
アジャイル,俊敏な//素早い
アズイズ,現状
アセスメント,影響評価
アセット,資産//財産
アナリスト,分析家
アニミズム,ものの見方
アポ,約束//予約
アミューズメント,娯楽
アメニティー,快適環境//快適さ
アライアンス,提携先
アンインストール,削除
イシュー,問題//課題
イニシアティブ,主導//発議
イニシャルコスト,初期費用
イノベーション,技術革新
インキュベーション,起業支援
インサイダー,内部関係者
インサイト,潜在的な欲求//潜在的な心理状況
インセンティブ,意欲刺激
インターンシップ,就業体験
インタラクティブ,双方向的
インバーター,直流と交流を変換する装置//正確には直流を交流に変換する装置のことだが、交流を直流に変換するコンバーターと合わせてこう呼ばれている
インバウンド,内向きの
インパクト,衝撃
インフォームドコンセント,納得診療//説明と同意
インフラ,社会基盤
インフルエンサー,影響力のある人
エクイティ,価値
エスカレ,報告
エスカレーション,報告
エネルギーミックス,電力供給に使用するエネルギー源の組み合わせ//エネルギーの安定供給、経済性、環境保護の両立を目標としている
エビデンス,証拠
エンパワーメント,能力開化//権限付与
エンフォースメント,法執行
オーガナイザー,まとめ役
オーソライズ,公認
オーナーシップ,所有権//主体性
オピニオンリーダー,世論形成者
オブザーバー,陪席者//監視員
オフサイトセンター,原子力防災センター
オマージュした,参考にした
オマージュする,参考にする
オペレーション,公開市場操作//作戦行動
オリエンテーション,最初の指示
オルタナティブ,代替案
オポチュニティ,機会
オンスケ,予定通りに
オンデマンド,注文対応
カーボンアカウンティング,温室効果ガス排出量を算出、集計、情報開示すること
ガイドライン,指針
カウンターパート,対応相手
カスタムメード,特注生産
ガバナンス,統治
キャズム,障害
キャッチアップ,追い上げ
キャパ,収容能力//容量
キャパシティ,収容能力//容量
キャピタルゲイン,資産益
キュレーション,情報整理
クライアント,お客様
クラウドソーシング,不特定多数に常務委託する業務形態
グランドデザイン,全体構想
クリアな,はっきりした
クリアに,はっきりした
クリエイティブ,制作物
クリティカル,批判的な//危機的な
クロージング,決断
グローバリゼーション,地球規模化
グローバル,地球規模
グローバルスタンダード,世界基準
ケア,手当て//介護
ケーススタディー,事例研究
コア,中核
コアコンピタンス,圧倒的に上回るレベルの能力//核となる能力
コジェネレーション,発電と同時に出る熱を有効活用する仕組み
コストカット,費用削減
コストリダクション,費用削減
コージェネレーション,熱電併給
コミット,約束する
コミットメント,関与//確約
コミュニケ,共同声明
コミュニティー,地域社会//共同体
コモディティ,不明瞭//均質
コラボレーション,共同制作
コンセプト,基本概念
コンセンサス,合意
コンソーシアム,共同事業体
コンテンツ,情報内容
コンティンジェンシープラン,緊急時の対応計画
コンバージョン,最終的な成果
コンバーター,交流を直流に変換する装置//家電の省エネ運転に欠かせない装置
コンファレンス,会議
コンプライアンス,法令遵守
コンペティター,競合相手
コンポスト,たい肥//生ゴミたい肥化装置
サーベイランス,調査監視
サジェスト,提案
サプライサイド,供給側
サプリメント,栄養補助食品
サマリー,要約
サムターン,内鍵〔うちかぎ〕つまみ
シーズ,種〔たね〕
シェア,共有//占有率//分かち合う//分け合う
シナジー,相乗効果
シフト,移行
シミュレーション,模擬実験
ジャストアイディア,思いつき
シュリンク,縮小//圧縮
ジョイン,参加
ショート,不足
シンクタンク,政策研究機関
シンクロニシティ,たまたまの出来事に深い意味を感じる瞬間
スキーム,計画
スキル,技能
スクーリング,登校授業
スクリーニング,ふるい分け
スケール,増減//拡大縮小
スケールメリット,規模効果
スコープ,範囲//領域
スタンス,立場
ステレオタイプ,紋切り型
ステークホルダー,利害関係者
ストックヤード,一時保管所
スマートグリッド,電力需給を最適化する通信網//ICT(情報通信技術)を活用して電力の需給を最適化する次世代通信網
セーフガード,緊急輸入制限
セーフティーネット,安全網
セカンドオピニオン,第二診断
セキュリティー,安全
セクター,部門
セグメント,顧客層//顧客層を割り出す調査
セットバック,壁面後退
ゼロエネルギー住宅,年間で消費する電力を実質ゼロにする住宅//断熱や省エネ設備、太陽光発電によってそれを可能にしている
ゼロエネルギーハウス,年間で消費する電力を実質ゼロにする住宅//断熱や省エネ設備、太陽光発電によってそれを可能にしている
ゼロエミッション,排出ゼロ
センサス,全数調査//大規模調査
ソフトランディング,軟着陸
ソリューション,問題解決
タイトル,題名
タイト,厳しい
ダイバーシティ,多様性
タイムラグ,時間差
ターゲティング,的を絞る
ターゲット,目標
タスク,作業課題
タスクフォース,特別作業班
ダンピング,不当廉売
ツール,道具
デイサービス,日帰り介護
ディシジョン,意思決定
デジタルデバイド,情報格差
デッドライン,最終締め切り
デファクトスタンダード,標準化した基準
デフォ,初期設定//再建不履行
デフォルト,標準//初期設定//再建不履行
デポジット,預かり金
デマンドレスポンス,電力需要を調節する仕組み//利用者が節電や時間変更で協力することで電力会社が電力需要を調節する仕組み
デリバリー,配達
ドクトリン,原則
トップダウン,上層部の意思決定
ドナー,臓器提供者//資金提供国
ドライブ,前進する//追いかける//がんばれ
トラウマ,心の傷
ドラスティック,徹底的で過激
ドラフト,草案
トレーサビリティー,履歴管理
トレンド,傾向
ナノテクノロジー,超微細技術
ナレッジ,付加価値のある情報
ニーズ,需要
ニッチ,隙間//狭い市場
ネグレクト,育児放棄//無視
ネゴシエート,交渉
ノウハウ,技術//知識//やり方
ノーティス,お知らせ
ノーマライゼーション,等生化//等しく生きる社会の実現
ノマド,移動しながら生活すること
ノルマ,目標数字
ノンステップバス,無段差バス
バーチャル,仮想
パートナーシップ,協力関係
ハーモナイゼーション,協調
バイオテクノロジー,生命工学
バイオマス,生物由来資源
ハイブリッド,複合型
ハウスリスト,顧客情報一覧
ハザードマップ,災害予測地図//防災地図
